asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
B000PKG6OE,Ace in the Hole,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall",N/A,USA,Billy Wilder,"Drama, Film-Noir","English, Spanish, Latin",72,Paramount Pictures,NOT RATED,04 Jul 1951,111 min,movie,"Billy Wilder, Lesser Samuels, Walter Newman",1951,tt0043338,8.2,"21,635"
B0001LYFKO,The Weather Underground,"Lili Taylor, Pamela Z, Jim Lange, Evan White",N/A,USA,"Sam Green, Bill Siegel(co-director)","Documentary, History, War",English,77,Indican Pictures,UNRATED,13 Nov 2003,92 min,movie,N/A,2002,tt0343168,7.6,"3,165"
0783217048,"To Wong Foo Thanks for Everything, Julie Newmar","Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing",N/A,USA,Beeban Kidron,"Comedy, Drama","English, French, Italian",N/A,Universal Pictures,PG-13,08 Sep 1995,109 min,movie,Douglas Carter Beane,1995,tt0114682,6.4,"23,173"
B00FZ4KR4U,Enough Said,"Julia Louis-Dreyfus, Lennie Loftin, Jessica St. Clair, Christopher Nicholas Smith",N/A,USA,Nicole Holofcener,"Comedy, Drama, Romance",English,78,s,PG-13,11 Oct 2013,93 min,movie,Nicole Holofcener,2013,tt2390361,7.1,"52,451"
B000RO6K80,Disturbia,"Shia LaBeouf, Sarah Roemer, Carrie-Anne Moss, David Morse","$80,050,171",USA,D.J. Caruso,"Drama, Mystery, Thriller","English, Spanish",62,Dreamworks,PG-13,13 Apr 2007,105 min,movie,"Christopher Landon (screenplay), Carl Ellsworth (screenplay), Christopher Landon (story)",2007,tt0486822,6.9,"196,834"
6302801133,In a Lonely Place,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid",N/A,USA,Nicholas Ray,"Drama, Film-Noir, Mystery",English,N/A,Columbia Pictures,NOT RATED,01 Aug 1950,94 min,movie,"Andrew Solt (screenplay), Edmund H. North (adaptation), Dorothy B. Hughes (story)",1950,tt0042593,8.0,"19,636"
B002ZG98KK,Piranha,"Bradford Dillman, Heather Menzies-Urich, Kevin McCarthy, Keenan Wynn",N/A,"USA, Netherlands",Joe Dante,"Comedy, Horror, Sci-Fi",English,N/A,The Weinstein Company/Dimension Films,R,03 Aug 1978,94 min,movie,"Richard Robinson (story), John Sayles (story), John Sayles (screenplay)",1978,tt0078087,5.9,"15,345"
6303212379,The Goonies,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman",N/A,USA,Richard Donner,"Adventure, Comedy, Family","English, Spanish, Cantonese, Italian",60,Amblin Entertainment,PG,07 Jun 1985,114 min,movie,"Steven Spielberg (story), Chris Columbus (screenplay)",1985,tt0089218,7.8,"195,586"
B003ZXNCH2,Exit Through the Gift Shop,"Banksy, Mr. Brainwash, Debora Guetta, Space Invader","$3,288,699",UK,Banksy,"Documentary, Comedy, Crime","English, French",85,Abarorama,R,14 May 2010,87 min,movie,N/A,2010,tt1587707,8.0,"55,437"
6305304750,Dances with Wolves,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",N/A,"USA, UK",Kevin Costner,"Adventure, Drama, Western","English, Sioux, Pawnee",72,Orion Pictures,PG-13,21 Nov 1990,181 min,movie,"Michael Blake (screenplay), Michael Blake (novel)",1990,tt0099348,8.0,"202,045"
