title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Prison Break Season 3: Break Out,B000FKO3GW,2008,False,['Short'],,['Sparkhill Production'],8.4,698.0,
The Break-Up,B000HCPS8U,2006,True,"['Comedy', 'Drama', 'Romance']",106,"['Universal Pictures', 'Mosaic Media Group', 'Wild West Picture Show Productions']",5.8,109054.0,['Peyton Reed']
The Losers,B002ZG99G8,2010,True,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",97,"['Warner Bros.', 'Dark Castle Entertainment', 'Weed Road Pictures', 'DC Entertainment']",6.4,78950.0,['Sylvain White']
The Sea Hawk,0792841042,1940,True,"['Action', 'Adventure', 'History', 'Romance']",127,['Warner Bros.'],7.8,7628.0,['Michael Curtiz']
Citizen X,0783116934,1995,True,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']",105,"['HBO Films', 'Asylum Films', 'Citadel Entertainment']",7.6,13809.0,['Chris Gerolmo']
Repo Man,6305971048,1984,True,"['Comedy', 'Crime', 'Sci-Fi', 'Thriller']",92,['Edge City'],6.9,27969.0,['Alex Cox']
TMNT,B00005JPMZ,2007,False,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",87,"['Imagi Animation Studios', 'Imagi Production', 'Mirage Studios', 'The Weinstein Company', 'Warner Bros.']",6.3,56013.0,['Kevin Munroe']
Rocky,079283321X,1976,False,"['Drama', 'Sport']",120,['Chartoff-Winkler Productions'],8.1,422924.0,['John G. Avildsen']
Two-Lane Blacktop,6305972370,1971,False,['Drama'],102,"['Michael Laughlin Enterprises', 'Universal Pictures']",7.3,9266.0,['Monte Hellman']
The Royal Tenenbaums,B0000640VJ,2001,True,"['Comedy', 'Drama']",110,"['Touchstone Pictures', 'American Empirical Pictures']",7.6,227491.0,['Wes Anderson']
Die Geschichte vom weinenden Kamel,B0006FFRB6,2003,False,"['Documentary', 'Drama', 'Family']",87::(25 fps),"['Hochschule für Fernsehen und Film München', 'Bayerischer Rundfunk (BR)', 'FilmFernsehFonds Bayern', 'Mongolkino']",7.5,5581.0,"['Byambasuren Davaa', 'Luigi Falorni']"
Jesse Stone: Thin Ice,B0024396EW,2009,True,"['Drama', 'Mystery']",88,"['Brandman Productions', 'TWS Productions II', 'Sony Pictures Television']",7.3,2521.0,['Robert Harmon']
Three Kings,B00003CX73,1999,True,"['Action', 'Adventure', 'Comedy', 'Drama', 'War']",114,"['Warner Bros.', 'Village Roadshow Pictures', 'Village-A.M. Partnership', 'Coast Ridge', 'Atlas Entertainment', 'Junger Witt Productions']",7.1,145969.0,['David O. Russell']
Find Me Guilty,B000FFJ826,2006,True,"['Biography', 'Comedy', 'Crime', 'Drama']",125,"['Yari Film Group Releasing', 'BDE Entertainment', 'Bob Yari Productions', 'Syndicate Films International', 'Crossroads Entertainment (II)', 'Three Wolves Productions', 'MHF Zweite Academy Film', 'One Race Productions', 'Bob DeBrino Entertainment']",7.1,29746.0,['Sidney Lumet']
Jaws 3-D,6300183181,1983,True,"['Adventure', 'Horror', 'Thriller']",99,"['Universal Pictures', 'Alan Landsburg Productions', 'MCA Theatricals']",3.6,31437.0,['Joe Alves']
La ciociara,6303934315,1960,True,"['Drama', 'War']",100,"['Compagnia Cinematografica Champion', 'Cocinor', 'Les Films Marceau', 'Société Générale de Cinématographie (S.G.C.)']",7.9,7166.0,['Vittorio De Sica']
Albert Nobbs,B007CEFTSA,2011,True,"['Drama', 'Romance']",113,"['Mockingbird Pictures', 'Trillium Productions', 'Parallel Film Productions', 'Morrison Films', 'WestEnd Films', 'Chrysalis Films', 'Allen & Associates', 'Canal+', 'Irish Film Board']",6.7,20992.0,['Rodrigo García']
Vanity Fair,B0006FO8E8,2004,True,['Drama'],141,"['Focus Features', 'Tempesta Films', 'Granada Film Productions', 'Inside Track Films', 'Mirabai Films', 'Cine Mosaic']",6.2,18247.0,['Mira Nair']
That Thing You Do!,6304342462,1996,True,"['Comedy', 'Drama', 'Music']",108,"['Clavius Base', 'Clinica Estetico', 'Twentieth Century Fox']",6.9,53787.0,['Tom Hanks']
